NAME_2,GID_2,district_name,Y,fitted_mean,fitted_sd,fitted_Q025,fitted_Q975,residual,resid_pct,fitted_cv
Kandhamal,IND.26.16_1,Kandhamal,835216,953827,67263,830747.029687405,1092062.874168609,-118611.0047621259,-14.2,0.07
Ganjam,IND.26.11_1,Ganjam,3900734,3485169,221716,3077160.9619747614,3939702.83207261,415564.7499268241,10.65,0.06
Sundargarh,IND.26.30_1,Sundargarh,2356230,2124097,132719,1880461.0103851533,2396151.5953298905,232132.57739688363,9.85,0.06
Debagarh,IND.26.8_1,Debagarh,347089,378599,24135,333886.8149934951,428624.2968923819,-31510.434045100294,-9.08,0.06
Sambalpur,IND.26.28_1,Sambalpur,1268070,1162994,71148,1029296.7784407989,1307859.8375845165,105076.30845799833,8.29,0.06
Bhadrak,IND.26.6_1,Bhadrak,1619791,1733194,120098,1516739.7821585238,1990258.307594398,-113403.46536386153,-7,0.07
Malkangiri,IND.26.21_1,Malkangiri,763486,816665,58424,710473.023579568,938449.3022802894,-53178.54659135046,-6.97,0.07
Mayurbhanj,IND.26.22_1,Mayurbhanj,2907759,2762009,167803,2449235.862467185,3107205.3991427687,145750.12859598035,5.01,0.06
Anugul,IND.26.1_1,Anugul,1383855,1314561,69314,1185932.6395536058,1458498.598172594,69293.98804382514,5.01,0.05
Nuapada,IND.26.25_1,Nuapada,696637,729867,41706,650754.2693163962,814806.8573773277,-33229.69642241381,-4.77,0.06
Bauda,IND.26.5_1,Bauda,522924,541429,28425,487022.58203670394,599106.801130504,-18505.383438254357,-3.54,0.05
Nayagarh,IND.26.24_1,Nayagarh,1006259,972122,51381,876170.1984837359,1078535.6541860877,34136.84621235216,3.39,0.05
Cuttack,IND.26.7_1,Cuttack,3257174,3365568,220435,2959649.395033163,3830811.757983232,-108394.08447670937,-3.33,0.07
Jajapur,IND.26.13_1,Jajapur,2057195,2117274,123762,1885842.7834522154,2373730.4316281015,-60079.32283339044,-2.92,0.06
Kendujhar,IND.26.18_1,Kendujhar,2106873,2063281,108361,1860269.7686406444,2287228.338332901,43592.116384131135,2.07,0.05
Nabarangapur,IND.26.23_1,Nabarangapur,1386658,1413764,84537,1254935.4502833888,1588087.8009448647,-27106.229227632284,-1.95,0.06
Puri,IND.26.26_1,Puri,1817034,1851722,111677,1642737.422448597,2083385.006886158,-34687.5132091546,-1.91,0.06
Koraput,IND.26.20_1,Koraput,1625670,1655900,91528,1482253.182579707,1842683.9288249344,-30229.66855559731,-1.86,0.06
Jharsuguda,IND.26.14_1,Jharsuguda,634653,645121,39215,571435.8655901552,726141.8091345364,-10468.092704729293,-1.65,0.06
Balangir,IND.26.2_1,Balangir,2038534,2063538,112632,1850749.6519589967,2294774.0841636895,-25003.925366554875,-1.23,0.05
Jagatsinghapur,IND.26.12_1,Jagatsinghapur,1245079,1259313,76343,1116271.2995796993,1417491.3091587308,-14233.932722894475,-1.14,0.06
Dhenkanal,IND.26.9_1,Dhenkanal,1402307,1389995,75760,1247408.4980231586,1546020.6241348244,12312.048454332864,0.88,0.05
Bargarh,IND.26.4_1,Bargarh,1561597,1572917,84280,1413443.7440803747,1745749.0084595112,-11319.713283320656,-0.72,0.05
Kendrapara,IND.26.17_1,Kendrapara,1691707,1680327,91363,1507620.0815426002,1867810.226376663,11379.769631681032,0.67,0.05
Kalahandi,IND.26.15_1,Kalahandi,1860755,1871927,98116,1685543.279707654,2072441.6082700798,-11171.943092077272,-0.6,0.05
Khordha,IND.26.19_1,Khordha,2209575,2222643,142450,1955303.9880155597,2518529.8387584207,-13068.091245398857,-0.59,0.06
Baleshwar,IND.26.3_1,Baleshwar,2488221,2496387,145168,2222781.867001459,2795215.266366194,-8166.015555327758,-0.33,0.06
Gajapati,IND.26.10_1,Gajapati,660325,658502,36237,589947.9946502013,732830.8729931521,1822.6456576408818,0.28,0.06
Subarnapur,IND.26.29_1,Subarnapur,668464,666888,41665,587832.0086131792,752416.2393037671,1575.8659059774363,0.24,0.06
Rayagada,IND.26.27_1,Rayagada,1145998,1148264,62422,1029949.9505423903,1276024.5890488005,-2266.085762026254,-0.2,0.05
